Sygnatura czasowa;Polityka RODO: ;Jestem: ;Sta¿ pracy: ;Szko³a:;Co jest prawd¹ o emocjach?;Z psychologicznego punktu widzenia emocje:;Co mo¿e pomóc w KONSTRUKTYWNYM ukojeniu nieprzyjemnych emocji? ;Jak wykonuje siê poprawny oddech przeponowy?;Co jest sposobem na zmniejszenie podatnoœci na odczuwanie nieprzyjemnych stanów emocjonalnych?;Czy forma przekazywania treœci podczas spotkania by³a dla Pani/Pana odpowiednia?;Jeœli nie, co nale¿a³oby zmieniæ?;Czy treœci przekazywane by³y w sposób zrozumia³y?;Czy æwiczenia realizowane w trakcie szkolenia pozwala³y na praktyczne wykorzystywanie zdobytej wiedzy? ;Czy prowadz¹cy zachêca³ do interakcji? Dawa³ mo¿liwoœæ zadawania pytañ i dyskusji? ;Czy udzia³ w szkoleniu pozwoli³ Pani/Panu na zdobycie lub uporz¹dkowanie wiedzy? ;Dziêki spotkaniu lepiej rozumiem to, co siê ze mn¹ dzieje.;Dziêki wiedzy zdobytej na szkoleniu jestem lepiej przygotowana/y na zauwa¿enie swoich emocji i zaopiekowania siê nimi.;Jakie treœci przekazane w ramach spotkania bêd¹ dla Pani/Pana najbardziej przydatne? Dlaczego?;Czy spotkanie zmieni³o sposób postrzegania przez Pani¹/Pana pewnych zagadnieñ? Jakich?;Czy jest Pani/Pan w stanie wskazaæ treœci, które uwa¿a Pani/Pan za zbêdne w agendzie szkolenia? Jakie?;Czy w Pani/Pana odczuciu w agendzie spotkania zabrak³o jakichœ istotnych treœci? Jakich?;Ogólna ocena spotkania ;Czy ma Pani/Pan dodatkowe uwagi dotycz¹ce szkolenia?
4.7.2025 17:52:48;Akceptujê;nauczycielem;21 lat i wiêcej;Zespó³ Szkó³ Budowlano-Technicznych w Stargardzie;Obie odpowiedzi s¹ poprawne.;s¹ normalne i potrzebne, poniewa¿ realizuj¹ szereg wa¿nych funkcji.;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech odbywa siê przez nos, a wydech – przez usta.;Codzienna troska o fizycznoœæ, opieraj¹ca siê na trzech g³ównych filarach: w³aœciwej diecie, odpowiedniej iloœci snu i ruchu.;Tak;Nic;Zdecydowanie tak;Zdecydowanie tak;Tak;Raczej tak;5;4;Wszystkie ;Tak;Nie;Nie;9;Nie
4.7.2025 17:53:06;Akceptujê;Doradca zawodowy;1-5 lat;Zespó³ Szkó³ Budowlano-Technicznych w Stargardzie;Obie odpowiedzi s¹ poprawne.;s¹ normalne i potrzebne, poniewa¿ realizuj¹ szereg wa¿nych funkcji.;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech odbywa siê przez nos, a wydech – przez usta.;Codzienna troska o fizycznoœæ, opieraj¹ca siê na trzech g³ównych filarach: w³aœciwej diecie, odpowiedniej iloœci snu i ruchu.;Tak;;Zdecydowanie tak;Zdecydowanie tak;Tak;Zdecydowanie tak;5;5;Wszystkie treœci by³y bardzo przydatne.;Jak najbardziej;Nie by³o takich;Nie zabrak³o;10;Brak
4.7.2025 17:54:01;Akceptujê;nauczycielem;21 lat i wiêcej;Zespó³ Szkó³ Budowlano-Technicznych w Stargardzie;Obie odpowiedzi s¹ poprawne.;s¹ normalne i potrzebne, poniewa¿ realizuj¹ szereg wa¿nych funkcji.;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech odbywa siê przez nos, a wydech – przez usta.;Codzienna troska o fizycznoœæ, opieraj¹ca siê na trzech g³ównych filarach: w³aœciwej diecie, odpowiedniej iloœci snu i ruchu.;Tak;;Zdecydowanie tak;Zdecydowanie tak;Tak;Zdecydowanie tak;5;5;Wszystkie treœci bêd¹ przydatne.;Nie.;Wszystkie treœci by³y wa¿ne.; Myœlê, ¿e nie.;10; Bardzo dziêkujê za profesjonalne przedstawienie tematu.
4.7.2025 17:55:02;Akceptujê;nauczycielem;21 lat i wiêcej;Zespó³ Szkó³ Budowlano-Technicznych w Stargardzie;To reakcje, które pojawiaj¹ siê w odpowiedzi na subiektywnie wa¿n¹ dla danej osoby sytuacjê.;mo¿na podzieliæ na dobre (pozytywne) i z³e (negatywne).;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech odbywa siê przez nos, a wydech – przez usta.;Optymistyczne nastawienie do codziennoœci i koncentrowanie siê na pozytywnych aspektach w³asnego ¿ycia.;Tak;Nic;Zdecydowanie tak;Zdecydowanie tak;Tak;Raczej tak;5;5;Wiêkszoœæ mi siê przyda .;Tak;Nie ;Nie ;9;Nie 
4.7.2025 17:55:34;Akceptujê;terapeuta pedagogicznym;11-15 lat;Zespó³ Szkó³ Budowlano-Technicznych w Stargardzie;Obie odpowiedzi s¹ poprawne.;s¹ normalne i potrzebne, poniewa¿ realizuj¹ szereg wa¿nych funkcji.;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech odbywa siê przez nos, a wydech – przez usta.;Codzienna troska o fizycznoœæ, opieraj¹ca siê na trzech g³ównych filarach: w³aœciwej diecie, odpowiedniej iloœci snu i ruchu.;Tak;;Zdecydowanie tak;Zdecydowanie tak;Tak;Zdecydowanie tak;5;5;Sposoby radzenia sobie ze stresem ;Nie;Nie;Nie;10;Nie
4.7.2025 17:59:07;Akceptujê;psychologiem;11-15 lat;Zespó³ Szkó³ Budowlano-Technicznych w Stargardzie;Obie odpowiedzi s¹ poprawne.;s¹ normalne i potrzebne, poniewa¿ realizuj¹ szereg wa¿nych funkcji.;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech odbywa siê przez nos, a wydech – przez usta.;Codzienna troska o fizycznoœæ, opieraj¹ca siê na trzech g³ównych filarach: w³aœciwej diecie, odpowiedniej iloœci snu i ruchu.;Tak;;Zdecydowanie tak;Zdecydowanie tak;Tak;Zdecydowanie tak;5;5;Myœlê, ¿e bardzo istotne w mojej pracy bêd¹ narzêdzia do regulowania silnych emocji.;Nie zmieni³o, a wzmocni³o sposób postrzegania podejmowanych zagadnieñ.;Wszystkie by³y potrzebne i wa¿ne.;Nie by³o takich.;10;Nie mam uwag.
4.24.2025 18:01:56;Akceptujê;nauczycielem;1-5 lat;Zespó³ Szkó³ Ogólnokszta³c¹cych nr 18 w Krakowie;Obie odpowiedzi s¹ poprawne.;s¹ normalne i potrzebne, poniewa¿ realizuj¹ szereg wa¿nych funkcji.;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech odbywa siê przez nos, a wydech – przez usta.;Codzienna troska o fizycznoœæ, opieraj¹ca siê na trzech g³ównych filarach: w³aœciwej diecie, odpowiedniej iloœci snu i ruchu.;Tak;Nic;Raczej tak;Raczej tak;Tak;Raczej tak;4;4;Ca³oœæ ;Ca³oœæ materia³u ;Brak;Nie;8;Nie
4.24.2025 18:02:00;Akceptujê;nauczycielem;1-5 lat;Zespó³ Szkó³ Ogólnokszta³c¹cych nr 18 w Krakowie;Obie odpowiedzi s¹ poprawne.;s¹ normalne i potrzebne, poniewa¿ realizuj¹ szereg wa¿nych funkcji.;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech odbywa siê przez nos, a wydech – przez usta.;Codzienna troska o fizycznoœæ, opieraj¹ca siê na trzech g³ównych filarach: w³aœciwej diecie, odpowiedniej iloœci snu i ruchu.;Tak;;Zdecydowanie tak;Zdecydowanie tak;Tak;Zdecydowanie tak;5;5;Praktyczne sposoby na radzenie sobie w trudnych momentach ;¯e wszystkie emocje s¹ potrzebne :);Brak;Brak;10;By³o super!:)
4.24.2025 18:02:04;Akceptujê;nauczycielem;21 lat i wiêcej;Zespó³ Szkó³ Ogólnokszta³c¹cych nr 18 w Krakowie;Obie odpowiedzi s¹ poprawne.;s¹ normalne i potrzebne, poniewa¿ realizuj¹ szereg wa¿nych funkcji.;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Nie wiem;Codzienna troska o fizycznoœæ, opieraj¹ca siê na trzech g³ównych filarach: w³aœciwej diecie, odpowiedniej iloœci snu i ruchu.;Tak;-;Zdecydowanie tak;Raczej tak;Tak;Raczej tak;4;4;-;-;-;-;6;-
4.24.2025 18:02:25;Akceptujê;nauczycielem;11-15 lat;Zespó³ Szkó³ Ogólnokszta³c¹cych nr 18 w Krakowie;Obie odpowiedzi s¹ poprawne.;s¹ normalne i potrzebne, poniewa¿ realizuj¹ szereg wa¿nych funkcji.;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech odbywa siê przez nos, a wydech – przez usta.;Codzienna troska o fizycznoœæ, opieraj¹ca siê na trzech g³ównych filarach: w³aœciwej diecie, odpowiedniej iloœci snu i ruchu.;Tak;;Zdecydowanie tak;Raczej tak;Tak;Zdecydowanie tak;4;5;Techniki relaksacyjne;tak, negatywnych emocji;nie;nie;8;nie
4.24.2025 18:02:46;Akceptujê;nauczycielem;1-5 lat;Zespó³ Szkó³ Ogólnokszta³c¹cych nr 18 w Krakowie;Obie odpowiedzi s¹ poprawne.;s¹ normalne i potrzebne, poniewa¿ realizuj¹ szereg wa¿nych funkcji.;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech odbywa siê przez nos, a wydech – przez usta.;Codzienna troska o fizycznoœæ, opieraj¹ca siê na trzech g³ównych filarach: w³aœciwej diecie, odpowiedniej iloœci snu i ruchu.;Tak;;Zdecydowanie tak;Raczej tak;Tak;Zdecydowanie nie;1;1;¯adne, wiedza ogólna, któr¹ posiada³am wczeœniej.;Nie.;Nie.;Technik skierowanych dla nauczycieli.;2;By³o to szkolenie z metodami relaksacyjnymi, skierowane do ogó³u, a nie stricte do nauczycieli.
4.24.2025 18:02:54;Akceptujê;nauczycielem;1-5 lat;Zespó³ Szkó³ Ogólnokszta³c¹cych nr 18 w Krakowie;Obie odpowiedzi s¹ poprawne.;s¹ normalne i potrzebne, poniewa¿ realizuj¹ szereg wa¿nych funkcji.;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech odbywa siê przez usta, a wydech – przez nos.;Codzienna troska o fizycznoœæ, opieraj¹ca siê na trzech g³ównych filarach: w³aœciwej diecie, odpowiedniej iloœci snu i ruchu.;Tak;;Raczej tak;Raczej tak;Tak;Raczej tak;5;5;Jak radziæ sobie ze stresem oraz jakie techniki wykonywaæ w celu uspokojenia emocji;Jak radziæ sobie z emocjami i je kontrolowac;Nie;Nie;9;Nie
4.24.2025 18:02:55;Akceptujê;nauczycielem;6-10 lat;Zespó³ Szkó³ Ogólnokszta³c¹cych nr 18 w Krakowie;Obie odpowiedzi s¹ poprawne.;s¹ normalne i potrzebne, poniewa¿ realizuj¹ szereg wa¿nych funkcji.;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech i wydech odbywaj¹ siê przez nos.;Optymistyczne nastawienie do codziennoœci i koncentrowanie siê na pozytywnych aspektach w³asnego ¿ycia.;Tak;;Zdecydowanie tak;Zdecydowanie tak;Tak;Zdecydowanie tak;4;4;Techniki/æwiczenia relaksacyjne;Nie;Nie ;Nie;10;Nie
4.24.2025 18:03:06;Akceptujê;nauczycielem;mniej ni¿ rok;Zespó³ Szkó³ Ogólnokszta³c¹cych nr 18 w Krakowie;Obie odpowiedzi s¹ poprawne.;s¹ normalne i potrzebne, poniewa¿ realizuj¹ szereg wa¿nych funkcji.;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Nie wiem;Codzienna troska o fizycznoœæ, opieraj¹ca siê na trzech g³ównych filarach: w³aœciwej diecie, odpowiedniej iloœci snu i ruchu.;Tak;;Raczej tak;Raczej tak;Tak;Raczej nie;4;4;Odœwie¿enie wiadomoœci na temat emocji.;Nie dotyczy;Szkolenie mog³oby nie mieæ dygresji i byæ krótsze.;Nie dotyczy;7;Nie dotyczy
4.24.2025 18:03:08;Akceptujê;nauczycielem;16-20 lat;Zespó³ Szkó³ Ogólnokszta³c¹cych nr 18 w Krakowie;Obie odpowiedzi s¹ poprawne.;s¹ normalne i potrzebne, poniewa¿ realizuj¹ szereg wa¿nych funkcji.;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech odbywa siê przez nos, a wydech – przez usta.;Codzienna troska o fizycznoœæ, opieraj¹ca siê na trzech g³ównych filarach: w³aœciwej diecie, odpowiedniej iloœci snu i ruchu.;Tak;;Zdecydowanie tak;Zdecydowanie tak;Tak;Zdecydowanie tak;4;3;informacje  o emocjach;nie;nie;nie;9;nie
4.24.2025 18:03:17;Akceptujê;nauczycielem;1-5 lat;Zespó³ Szkó³ Ogólnokszta³c¹cych nr 18 w Krakowie;Obie odpowiedzi s¹ poprawne.;s¹ normalne i potrzebne, poniewa¿ realizuj¹ szereg wa¿nych funkcji.;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech odbywa siê przez nos, a wydech – przez usta.;Codzienna troska o fizycznoœæ, opieraj¹ca siê na trzech g³ównych filarach: w³aœciwej diecie, odpowiedniej iloœci snu i ruchu.;Tak;;Zdecydowanie tak;Zdecydowanie tak;Tak;Zdecydowanie tak;5;5;informacje o rozumieniu swoich emocji i ich akceptowanie, poniewa¿ to przepis na poznanie siebie :D;Chyba nie;Wszystkie s¹ potrzebne :D;Nie, temat jest wyczerpany ;10;Nie mam:D
4.24.2025 18:03:18;Akceptujê;pedagog, psycholog, nauczyciel;21 lat i wiêcej;Zespó³ Szkó³ Ogólnokszta³c¹cych nr 18 w Krakowie;Obie odpowiedzi s¹ poprawne.;s¹ normalne i potrzebne, poniewa¿ realizuj¹ szereg wa¿nych funkcji.;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech i wydech odbywaj¹ siê przez nos.;Codzienna troska o fizycznoœæ, opieraj¹ca siê na trzech g³ównych filarach: w³aœciwej diecie, odpowiedniej iloœci snu i ruchu.;Tak;;Zdecydowanie tak;Zdecydowanie tak;Tak;Zdecydowanie tak;5;5;æwiczenia, s¹ przydatne;koniecznoœæ czuwania nad sob¹;nie;ogólnego dobrostanu, nie wszyscy zrozumieli, po co te æwiczenia;10;brak :-)
4.24.2025 18:03:52;Akceptujê;nauczycielem;1-5 lat;Zespó³ Szkó³ Ogólnokszta³c¹cych nr 18 w Krakowie;Obie odpowiedzi s¹ poprawne.;s¹ normalne i potrzebne, poniewa¿ realizuj¹ szereg wa¿nych funkcji.;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech i wydech odbywaj¹ siê przez nos.;Codzienna troska o fizycznoœæ, opieraj¹ca siê na trzech g³ównych filarach: w³aœciwej diecie, odpowiedniej iloœci snu i ruchu.;Tak;Mo¿e wiêcej skupienia siê na kwestiach prawnych, historii z ¿ycia nauczycieli, którzy jak wiemy s¹ prze³adowani godzinami w szkole. Znacznie mniej o technikach relaksacji.;Raczej tak;Raczej tak;Tak;Raczej tak;4;3;O emocjach, teraz bardziej je rozumiem.;Mam podobny stosunek do tych zagadnieñ.;Za du¿o informacji o technikach relaksacyjnych.;Pisa³em ju¿ wczeœniej.;6;Brak.
4.24.2025 18:03:54;Akceptujê;nauczycielem;mniej ni¿ rok;Zespó³ Szkó³ Ogólnokszta³c¹cych nr 18 w Krakowie;Obie odpowiedzi s¹ poprawne.;s¹ normalne i potrzebne, poniewa¿ realizuj¹ szereg wa¿nych funkcji.;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech odbywa siê przez nos, a wydech – przez usta.;¯adna z powy¿szych.;Tak;Nic;Zdecydowanie tak;Raczej tak;Tak;Zdecydowanie tak;4;4;Metody oddechowe, relaksacyjne, uspokajaj¹ce.;Tak, lepsze zrozumienie swoich emocji.;Nie;Nie;7;Nie
4.24.2025 18:03:58;Akceptujê;nauczycielem;mniej ni¿ rok;Zespó³ Szkó³ Ogólnokszta³c¹cych nr 18 w Krakowie;Obie odpowiedzi s¹ poprawne.;s¹ normalne i potrzebne, poniewa¿ realizuj¹ szereg wa¿nych funkcji.;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech odbywa siê przez nos, a wydech – przez usta.;Codzienna troska o fizycznoœæ, opieraj¹ca siê na trzech g³ównych filarach: w³aœciwej diecie, odpowiedniej iloœci snu i ruchu.;Tak;-;Zdecydowanie tak;Zdecydowanie tak;Tak;Zdecydowanie tak;5;5;Sposoby regulacji emocji.;¯e ka¿da emocja jest dobra;-;-;10;-
4.24.2025 18:04:16;Akceptujê;nauczycielem;21 lat i wiêcej;Zespó³ Szkó³ Ogólnokszta³c¹cych nr 18 w Krakowie;Obie odpowiedzi s¹ poprawne.;s¹ normalne i potrzebne, poniewa¿ realizuj¹ szereg wa¿nych funkcji.;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech odbywa siê przez nos, a wydech – przez usta.;Codzienna troska o fizycznoœæ, opieraj¹ca siê na trzech g³ównych filarach: w³aœciwej diecie, odpowiedniej iloœci snu i ruchu.;Tak;;Zdecydowanie tak;Zdecydowanie tak;Tak;Zdecydowanie tak;5;5;Wszystkie æwiczenia;Raczej nie;Nie;Nie zabrak³o;10;Nie mam uwag
4.24.2025 18:04:19;Akceptujê;nauczycielem;1-5 lat;Zespó³ Szkó³ Ogólnokszta³c¹cych nr 18 w Krakowie;Obie odpowiedzi s¹ poprawne.;s¹ normalne i potrzebne, poniewa¿ realizuj¹ szereg wa¿nych funkcji.;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech i wydech odbywaj¹ siê przez nos.;Codzienna troska o fizycznoœæ, opieraj¹ca siê na trzech g³ównych filarach: w³aœciwej diecie, odpowiedniej iloœci snu i ruchu.;Tak;;Zdecydowanie tak;Zdecydowanie tak;Tak;Raczej tak;3;3;5-4-3-2-1;Nie;Nie;Nie wiem;5;Nie
4.24.2025 18:04:28;Akceptujê;nauczycielem;6-10 lat;Zespó³ Szkó³ Ogólnokszta³c¹cych nr 18 w Krakowie;To reakcje, które pojawiaj¹ siê w odpowiedzi na subiektywnie wa¿n¹ dla danej osoby sytuacjê.;s¹ normalne i potrzebne, poniewa¿ realizuj¹ szereg wa¿nych funkcji.;Przyjêcie odpowiedniej postawy cia³a lub wykonanie prostych ruchów.;Wdech odbywa siê przez nos, a wydech – przez usta.;Codzienna troska o fizycznoœæ, opieraj¹ca siê na trzech g³ównych filarach: w³aœciwej diecie, odpowiedniej iloœci snu i ruchu.;Tak;;Zdecydowanie tak;Zdecydowanie tak;Tak;Zdecydowanie tak;5;5;Radzenie sobie z trudnymi emocjami;Tak, ataku paniki;Nie;Nie;9;Nie
